key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
KMCO,observation,1577865180,KMCO,Orlando,1577857980,N,55,22,2200,Smoke,2.0,Falling Rapidly,46,55,72,29.97,10.0,55.0,280.0,W,,6.0,,,,0.0,,Low,55,0,,,,,FEW,,,,,,,,,
KMCO,observation,1577868780,KMCO,Orlando,1577861580,N,55,29,2900,Partly Cloudy,,,46,55,72,29.96,10.0,55.0,300.0,WNW,,3.0,,,,0.0,,Low,55,0,,,,,SCT,,,,,,,,,
KMCO,observation,1577872380,KMCO,Orlando,1577865180,N,55,29,2900,Partly Cloudy,,,47,55,74,29.96,10.0,55.0,300.0,WNW,,5.0,,,,0.0,,Low,55,0,,,,,SCT,,,,,,,,,
KMCO,observation,1577875980,KMCO,Orlando,1577868780,N,54,33,3300,Fair,2.0,Falling,46,54,75,29.95,10.0,54.0,310.0,NW,,5.0,,,,0.0,,Low,54,0,,,,,FEW,,,,,,,,,
KMCO,observation,1577879580,KMCO,Orlando,1577872380,N,54,29,2900,Partly Cloudy,,,43,54,66,29.95,10.0,54.0,320.0,NW,,6.0,,,,0.0,,Low,54,0,,,,,SCT,,,,,,,,,
KMCO,observation,1577883180,KMCO,Orlando,1577875980,N,55,29,2900,Partly Cloudy,,,43,55,64,29.96,10.0,55.0,350.0,N,,9.0,,,,0.0,,Low,55,0,,,,,SCT,,,,,,,,,
KMCO,observation,1577886780,KMCO,Orlando,1577879580,D,53,30,3000,Partly Cloudy,1.0,Rising Rapidly,40,53,61,29.98,10.0,53.0,320.0,NW,,5.0,,,,0.0,,Low,53,0,,,,,SCT,,,,,,,,,
KMCO,observation,1577890380,KMCO,Orlando,1577883180,D,55,34,3400,Fair,,,38,55,53,30.0,10.0,55.0,350.0,N,,10.0,,,,0.0,,Low,55,0,,,,,FEW,,,,,,,,,
KMCO,observation,1577893980,KMCO,Orlando,1577886780,D,58,34,3400,Fair,,,39,58,49,30.01,10.0,58.0,350.0,N,,12.0,,,,0.0,,Low,58,1,,,,,FEW,,,,,,,,,
KMCO,observation,1577897580,KMCO,Orlando,1577890380,D,61,30,3000,Partly Cloudy,1.0,Rising Rapidly,39,61,44,30.04,10.0,61.0,10.0,N,,9.0,,,,0.0,,Low,61,1,,,,,SCT,,,,,,,,,
KMCO,observation,1577901180,KMCO,Orlando,1577893980,D,64,34,3400,Fair,,,37,64,37,30.02,10.0,64.0,350.0,N,,6.0,,,,0.0,,Moderate,64,3,,,,,FEW,,,,,,,,,
KMCO,observation,1577904780,KMCO,Orlando,1577897580,D,65,34,3400,Fair,,,37,65,36,30.01,10.0,65.0,290.0,WNW,,7.0,,,,0.0,,Moderate,65,3,,,,,FEW,,,,,,,,,
KMCO,observation,1577908380,KMCO,Orlando,1577901180,D,67,30,3000,Partly Cloudy,2.0,Falling Rapidly,36,67,32,29.96,10.0,67.0,320.0,NW,,6.0,,,,0.0,,Moderate,67,3,,,,,SCT,,,,,,,,,
KMCO,observation,1577911980,KMCO,Orlando,1577904780,D,69,30,3000,Partly Cloudy,,,38,69,32,29.92,10.0,69.0,,VAR,,3.0,,,,0.0,,Low,69,2,,,,,SCT,,,,,,,,,
KMCO,observation,1577915580,KMCO,Orlando,1577908380,D,70,28,2800,Mostly Cloudy,,,38,70,31,29.91,10.0,70.0,210.0,SSW,,3.0,,,,0.0,,Low,70,1,,,,,BKN,,,,,,,,,
