key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
ZHCC,observation,1577815200,ZHCC,Zhengzhou/Xinzheng,1577808000,N,30,33,3300,Fair,,,7,30,37,29.93,6.0,25,170.0,S,,4,,,,,,Low,25,0,,,,,CLR,,,,,,,,,
ZHCC,observation,1577818800,ZHCC,Zhengzhou/Xinzheng,1577811600,N,30,33,3300,Fair,,,7,30,37,29.93,6.0,25,190.0,S,,4,,,,,,Low,25,0,,,,,CLR,,,,,,,,,
ZHCC,observation,1577822400,ZHCC,Zhengzhou/Xinzheng,1577815200,N,30,33,3300,Fair,,,7,30,37,29.9,6.0,30,,VAR,,2,,,,,,Low,30,0,,,,,CLR,,,,,,,,,
ZHCC,observation,1577826000,ZHCC,Zhengzhou/Xinzheng,1577818800,N,28,33,3300,Fair,,,10,28,47,29.9,6.0,28,,VAR,,2,,,,,,Low,28,0,,,,,CLR,,,,,,,,,
ZHCC,observation,1577829600,ZHCC,Zhengzhou/Xinzheng,1577822400,N,25,33,3300,Fair,,,12,25,59,29.87,6.0,19,120.0,ESE,,4,,,,,,Low,19,0,,,,,CLR,,,,,,,,,
ZHCC,observation,1577833200,ZHCC,Zhengzhou/Xinzheng,1577826000,N,25,33,3300,Fair,,,12,25,59,29.85,6.0,25,130.0,SE,,2,,,,,,Low,25,0,,,,,CLR,,,,,,,,,
ZHCC,observation,1577836800,ZHCC,Zhengzhou/Xinzheng,1577829600,N,27,33,3300,Fair,,,14,27,59,29.87,6.0,27,150.0,SSE,,2,,,,,,Low,27,0,,,,,CLR,,,,,,,,,
ZHCC,observation,1577840400,ZHCC,Zhengzhou/Xinzheng,1577833200,N,23,33,3300,Fair,,,14,23,68,29.87,6.0,23,,VAR,,2,,,,,,Low,23,0,,,,,CLR,,,,,,,,,
ZHCC,observation,1577844000,ZHCC,Zhengzhou/Xinzheng,1577836800,D,27,34,3400,Fair,,,14,27,59,29.87,6.0,27,,VAR,,2,,,,,,Low,27,0,,,,,CLR,,,,,,,,,
ZHCC,observation,1577847600,ZHCC,Zhengzhou/Xinzheng,1577840400,D,30,34,3400,Fair,,,16,30,55,29.9,6.0,30,,VAR,,2,,,,,,Low,30,0,,,,,CLR,,,,,,,,,
ZHCC,observation,1577851200,ZHCC,Zhengzhou/Xinzheng,1577844000,D,34,34,3400,Fair,,,12,34,41,29.93,6.0,34,,VAR,,2,,,,,,Low,34,1,,,,,CLR,,,,,,,,,
ZHCC,observation,1577854800,ZHCC,Zhengzhou/Xinzheng,1577847600,D,36,34,3400,Fair,,,12,36,38,29.9,6.0,36,,VAR,,2,,,,,,Low,36,2,,,,,CLR,,,,,,,,,
ZHCC,observation,1577858400,ZHCC,Zhengzhou/Xinzheng,1577851200,D,39,34,3400,Fair,,,10,39,31,29.87,6.0,36,100.0,E,,4,,,,,,Moderate,36,3,,,,,CLR,,,,,,,,,
ZHCC,observation,1577862000,ZHCC,Zhengzhou/Xinzheng,1577854800,D,39,34,3400,Fair,,,10,39,31,29.85,6.0,36,,VAR,,4,,,,,,Moderate,36,3,,,,,CLR,,,,,,,,,
ZHCC,observation,1577865600,ZHCC,Zhengzhou/Xinzheng,1577858400,D,39,34,3400,Fair,,,10,39,31,29.82,6.0,36,150.0,SSE,,4,,,,,,Low,36,2,,,,,CLR,,,,,,,,,
ZHCC,observation,1577869200,ZHCC,Zhengzhou/Xinzheng,1577862000,D,37,34,3400,Fair,,,12,37,36,29.82,6.0,34,120.0,ESE,,4,,,,,,Low,34,1,,,,,CLR,,,,,,,,,
