key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
53787,observation,1577826900,53787,Yushe,1577815200,N,23,,,,2,Falling,1,23,39,26.72,18.0,23,310.0,NW,,2,28,-4,0.0,,,Low,23,0,,,,,,,,,,,,,,
53787,observation,1577848500,53787,Yushe,1577836800,D,18,34.0,3400.0,Fair,2,Falling,4,18,55,26.7,18.0,18,200.0,SSW,,2,28,-4,0.0,,,Low,18,0,,,,,,,,,,,,,,
53787,observation,1577870100,53787,Yushe,1577858400,D,44,28.0,2800.0,Mostly Cloudy,2,Falling,16,44,32,26.63,18.0,42,270.0,W,,4,44,18,0.0,,,Low,42,1,,,,,,,,,,,,,,
53787,observation,1577891700,53787,Yushe,1577880000,N,29,33.0,3300.0,Fair,1,Rising,15,29,55,26.7,18.0,22,60.0,ENE,,7,45,18,0.0,,,Low,22,0,,,,,,,,,,,,,,
53787,observation,1577913300,53787,Yushe,1577901600,N,19,,,,1,Rising,12,19,74,26.76,16.0,19,90.0,E,,2,45,18,0.0,,,Low,19,0,,,,,,,,,,,,,,
53787,observation,1577934900,53787,Yushe,1577923200,D,15,34.0,3400.0,Fair,1,Rising,12,15,89,26.77,7.0,15,150.0,SSE,,2,45,14,0.0,,,Low,15,0,,,,,,,,,,,,,,
53787,observation,1577956500,53787,Yushe,1577944800,D,49,,,,2,Falling,19,49,30,26.71,18.0,47,220.0,SW,,4,49,14,0.0,,,Low,47,2,,,,,,,,,,,,,,
53787,observation,1577978100,53787,Yushe,1577966400,N,31,33.0,3300.0,Fair,1,Rising,17,31,56,26.75,18.0,24,60.0,ENE,,7,51,14,0.0,,,Low,24,0,,,,,,,,,,,,,,
53787,observation,1577999700,53787,Yushe,1577988000,N,28,,,,2,Falling,16,28,61,26.75,13.0,28,330.0,NNW,,2,51,14,0.0,,,Low,28,0,,,,,,,,,,,,,,
53787,observation,1578042900,53787,Yushe,1578031200,D,49,34.0,3400.0,Fair,2,Falling,19,49,31,26.7,16.0,47,270.0,W,,4,51,23,0.0,,,Low,47,2,,,,,,,,,,,,,,
53787,observation,1578064500,53787,Yushe,1578052800,N,34,27.0,2700.0,Mostly Cloudy,1,Rising,17,34,50,26.7,8.0,30,70.0,ENE,,4,49,23,0.0,,,Low,30,0,,,,,,,,,,,,,,
53787,observation,1578086100,53787,Yushe,1578074400,N,25,,,,2,Falling,16,25,69,26.72,7.0,19,60.0,ENE,,4,49,23,0.0,,,Low,19,0,,,,,,,,,,,,,,
53787,observation,1578107700,53787,Yushe,1578096000,D,18,30.0,3000.0,Partly Cloudy,1,Rising,13,18,81,26.72,6.0,18,70.0,ENE,,2,49,17,0.0,,,Low,18,0,,,,,,,,,,,,,,
53787,observation,1578129300,53787,Yushe,1578117600,D,47,28.0,2800.0,Mostly Cloudy,2,Falling,19,47,33,26.64,13.0,45,260.0,W,,4,49,17,0.0,,,Low,45,1,,,,,,,,,,,,,,
53787,observation,1578150900,53787,Yushe,1578139200,N,37,27.0,2700.0,Mostly Cloudy,1,Rising,20,37,52,26.69,11.0,37,40.0,NE,,2,48,17,0.0,,,Low,37,0,,,,,,,,,,,,,,
53787,observation,1578172500,53787,Yushe,1578160800,N,32,,,,2,Falling,19,32,58,26.67,10.0,32,310.0,NW,,2,48,17,0.0,,,Low,32,0,,,,,,,,,,,,,,
53787,observation,1578194100,53787,Yushe,1578182400,D,30,13.0,1401.0,Light Snow Shower,2,Falling,29,30,96,26.68,0.62,30,20.0,NNE,,2,48,18,0.09,,,Low,30,0,,,,,,,,,,,,,,
53787,observation,1578215700,53787,Yushe,1578204000,D,35,,,,2,Falling,33,35,94,26.61,2.0,35,,CALM,,0,48,30,0.24,,,Low,35,2,,,,,,,,,,,,,,
53787,observation,1578237300,53787,Yushe,1578225600,N,30,26.0,2600.0,Cloudy,1,Rising,28,30,91,26.64,3.0,30,,CALM,,0,37,30,0.26,,,Low,30,0,,,,,,,,,,,,,,
53787,observation,1578258900,53787,Yushe,1578247200,N,28,33.0,3300.0,Fair,2,Falling,27,28,95,26.64,2.0,28,,CALM,,0,35,28,0.26,,,Low,28,0,,,,,,,,,,,,,,
53787,observation,1578280500,53787,Yushe,1578268800,D,25,26.0,2600.0,Cloudy,1,Rising,24,25,98,26.64,1.0,25,,CALM,,0,35,24,0.17,,,Low,25,0,,,,,,,,,,,,,,
53787,observation,1578302100,53787,Yushe,1578290400,D,34,26.0,2600.0,Cloudy,2,Falling,29,34,82,26.57,3.0,34,210.0,SSW,,2,35,24,0.02,,,Low,34,1,,,,,,,,,,,,,,
