key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
LIML,observation,1577841600,LIML,Milano/Linate,1577834400,N,30,20,2021,Shallow Fog,,,30,30,100,30.02,1.0,30.0,,VAR,,2.0,,,,,,Low,30.0,0,,,,,CLR,,,,,,,,,
LIML,observation,1577843400,LIML,Milano/Linate,1577836200,N,30,20,2021,Shallow Fog,,,30,30,100,30.02,1.0,30.0,,VAR,,1.0,,,,,,Low,30.0,0,,,,,CLR,,,,,,,,,
LIML,observation,1577845200,LIML,Milano/Linate,1577838000,N,32,20,2021,Shallow Fog,,,30,32,93,30.02,1.0,32.0,,VAR,,1.0,,,,,,Low,32.0,0,,,,,CLR,,,,,,,,,
LIML,observation,1577847000,LIML,Milano/Linate,1577839800,N,30,20,2000,Fog,,,28,30,93,30.02,0.5,30.0,,VAR,,2.0,,,,,,Low,30.0,0,,,,,CLR,,,,,,,,,
LIML,observation,1577848800,LIML,Milano/Linate,1577841600,N,28,20,2000,Fog,,,28,28,100,30.02,0.25,28.0,,VAR,,1.0,,,,,,Low,28.0,0,,,,,CLR,,,,,,,,,
LIML,observation,1577850600,LIML,Milano/Linate,1577843400,N,30,20,2000,Fog,,,28,30,93,30.02,0.5,30.0,,VAR,,1.0,,,,,,Low,30.0,0,,,,,CLR,,,,,,,,,
LIML,observation,1577852400,LIML,Milano/Linate,1577845200,N,28,20,2000,Fog,,,27,28,93,30.02,0.5,28.0,170.0,S,,1.0,,,,,,Low,28.0,0,,,,,CLR,,,,,,,,,
LIML,observation,1577854200,LIML,Milano/Linate,1577847000,N,30,20,2000,Fog,,,30,30,100,30.0,0.25,30.0,220.0,SW,,2.0,,,,,,Low,30.0,0,,,,,CLR,,,,,,,,,
LIML,observation,1577856000,LIML,Milano/Linate,1577848800,N,30,20,2000,Fog,,,30,30,100,30.0,0.56,30.0,290.0,WNW,,2.0,,,,,,Low,30.0,0,,,,,CLR,,,,,,,,,
LIML,observation,1577857800,LIML,Milano/Linate,1577850600,N,28,20,2000,Fog,,,28,28,100,30.0,0.75,28.0,,VAR,,2.0,,,,,,Low,28.0,0,,,,,CLR,,,,,,,,,
