key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
VABB,observation,1577824200,VABB,Mumbai/Maharaj,1577817000,N,72,22,2200,Smoke,,,55,72,57,29.87,1.0,72,20.0,NNE,,5,,,,,,Low,72,0,,,,,CLR,,,,,,,,,
VABB,observation,1577826000,VABB,Mumbai/Maharaj,1577818800,N,72,22,2200,Smoke,,,57,72,60,29.87,1.0,72,70.0,ENE,,3,,,,,,Low,72,0,,,,,CLR,,,,,,,,,
VABB,observation,1577827800,VABB,Mumbai/Maharaj,1577820600,N,70,22,2200,Smoke,,,57,70,64,29.87,1.0,70,,CALM,,0,,,,,,Low,70,0,,,,,CLR,,,,,,,,,
VABB,observation,1577829600,VABB,Mumbai/Maharaj,1577822400,N,70,21,2100,Haze,,,55,70,60,29.85,1.0,70,350.0,N,,3,,,,,,Low,70,0,,,,,CLR,,,,,,,,,
VABB,observation,1577831400,VABB,Mumbai/Maharaj,1577824200,N,70,21,2100,Haze,,,57,70,64,29.85,1.0,70,,CALM,,0,,,,,,Low,70,0,,,,,CLR,,,,,,,,,
VABB,observation,1577833200,VABB,Mumbai/Maharaj,1577826000,N,70,21,2100,Haze,,,55,70,60,29.85,1.0,70,350.0,N,,3,,,,,,Low,70,0,,,,,CLR,,,,,,,,,
VABB,observation,1577835000,VABB,Mumbai/Maharaj,1577827800,N,68,21,2100,Haze,,,55,68,64,29.82,1.0,68,,CALM,,0,,,,,,Low,68,0,,,,,CLR,,,,,,,,,
VABB,observation,1577836800,VABB,Mumbai/Maharaj,1577829600,N,68,21,2100,Haze,,,57,68,68,29.82,1.0,68,100.0,E,,3,,,,,,Low,68,0,,,,,CLR,,,,,,,,,
VABB,observation,1577838600,VABB,Mumbai/Maharaj,1577831400,N,68,21,2100,Haze,,,57,68,68,29.82,1.0,68,,CALM,,0,,,,,,Low,68,0,,,,,CLR,,,,,,,,,
VABB,observation,1577840400,VABB,Mumbai/Maharaj,1577833200,N,68,21,2100,Haze,,,57,68,68,29.82,1.0,68,,CALM,,0,,,,,,Low,68,0,,,,,CLR,,,,,,,,,
