key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
94710,observation,1577804400,94710,Cobar Arpt,1577797200,N,88,,,,1.0,Rising,40,84,19,29.05,,88,200.0,SSW,,12,109.0,,,,,Low,84,0,,,,,,,,,,,,,,
94710,observation,1577808000,94710,Cobar Arpt,1577800800,N,86,,,,,,36,82,17,29.05,,86,190.0,S,,12,,,,,,Low,82,0,,,,,,,,,,,,,,
94710,observation,1577811600,94710,Cobar Arpt,1577804400,N,83,,,,,,31,80,15,29.06,,83,180.0,S,,13,,,,,,Low,80,0,,,,,,,,,,,,,,
94710,observation,1577815200,94710,Cobar Arpt,1577808000,N,81,,,,2.0,Falling Rapidly,31,79,16,29.05,,81,190.0,S,,10,,,,,,Low,79,0,,,,,,,,,,,,,,
94710,observation,1577818800,94710,Cobar Arpt,1577811600,N,79,,,,,,29,78,16,29.05,,79,190.0,S,,8,,,,,,Low,78,0,,,,,,,,,,,,,,
94710,observation,1577822400,94710,Cobar Arpt,1577815200,N,77,,,,,,28,77,16,29.06,,77,170.0,S,,6,,,,,,Low,77,0,,,,,,,,,,,,,,
94710,observation,1577826000,94710,Cobar Arpt,1577818800,D,76,,,,1.0,Rising Rapidly,27,76,16,29.08,,76,190.0,S,,8,,,,,,Low,76,0,,,,,,,,,,,,,,
94710,observation,1577829600,94710,Cobar Arpt,1577822400,D,76,,,,,,28,76,17,29.11,,76,170.0,S,,9,,,,,,Low,76,0,,,,,,,,,,,,,,
94710,observation,1577833200,94710,Cobar Arpt,1577826000,D,78,,,,,,30,77,17,29.13,,78,160.0,SSE,,14,,,,,,Low,77,1,,,,,,,,,,,,,,
94710,observation,1577836800,94710,Cobar Arpt,1577829600,D,82,30.0,3000.0,Partly Cloudy,1.0,Rising,33,79,17,29.15,,82,160.0,SSE,,13,,,0.0,,,Low,79,2,,,,,,,,,,,,,,
94710,observation,1577840400,94710,Cobar Arpt,1577833200,D,83,,,,,,34,81,17,29.16,,83,170.0,S,,15,,,,,,Moderate,81,5,,,,,,,,,,,,,,
94710,observation,1577844000,94710,Cobar Arpt,1577836800,D,86,,,,,,33,83,15,29.16,,86,170.0,S,,13,,,,,,Very High,83,9,,,,,,,,,,,,,,
94710,observation,1577847600,94710,Cobar Arpt,1577840400,D,93,,,,0.0,Steady,37,88,14,29.15,,93,180.0,S,,13,,75.0,,,,Extreme,88,12,,,,,,,,,,,,,,
94710,observation,1577851200,94710,Cobar Arpt,1577844000,D,92,,,,,,36,88,14,29.14,,92,170.0,S,,12,,,,,,Extreme,88,14,,,,,,,,,,,,,,
94710,observation,1577854800,94710,Cobar Arpt,1577847600,D,94,,,,,,36,89,13,29.13,,94,170.0,S,,12,,,,,,Extreme,89,13,,,,,,,,,,,,,,
94710,observation,1577858400,94710,Cobar Arpt,1577851200,D,96,,,,2.0,Falling,35,91,12,29.12,,96,190.0,S,,13,,,,,,Extreme,91,11,,,,,,,,,,,,,,
94710,observation,1577862000,94710,Cobar Arpt,1577854800,D,98,,,,,,37,93,12,29.1,,98,180.0,S,,13,,,,,,Very High,93,8,,,,,,,,,,,,,,
94710,observation,1577865600,94710,Cobar Arpt,1577858400,D,99,,,,,,35,94,11,29.08,,99,170.0,S,,10,,,,,,Moderate,94,5,,,,,,,,,,,,,,
94710,observation,1577869200,94710,Cobar Arpt,1577862000,D,99,,,,2.0,Falling,35,94,11,29.08,,99,190.0,S,,8,,,,,,Low,94,2,,,,,,,,,,,,,,
94710,observation,1577872800,94710,Cobar Arpt,1577865600,D,98,,,,,,32,92,10,29.1,,98,180.0,S,,15,,,,,,Low,92,1,,,,,,,,,,,,,,
94710,observation,1577876400,94710,Cobar Arpt,1577869200,D,95,,,,,,30,90,10,29.12,,95,180.0,S,,14,,,,,,Low,90,0,,,,,,,,,,,,,,
94710,observation,1577880000,94710,Cobar Arpt,1577872800,N,91,,,,1.0,Rising,29,87,11,29.14,,91,190.0,S,,12,,,,,,Low,87,0,,,,,,,,,,,,,,
94710,observation,1577883600,94710,Cobar Arpt,1577876400,N,89,,,,,,25,85,10,29.15,,89,180.0,S,,10,,,,,,Low,85,0,,,,,,,,,,,,,,
94710,observation,1577887200,94710,Cobar Arpt,1577880000,N,86,,,,,,23,83,10,29.18,,86,180.0,S,,9,,,,,,Low,83,0,,,,,,,,,,,,,,
94710,observation,1577890800,94710,Cobar Arpt,1577883600,N,83,,,,1.0,Rising,23,81,11,29.18,,83,170.0,S,,8,101.0,,,,,Low,81,0,,,,,,,,,,,,,,
94710,observation,1577894400,94710,Cobar Arpt,1577887200,N,80,,,,,,23,78,12,29.18,,80,170.0,S,,8,,,,,,Low,78,0,,,,,,,,,,,,,,
94710,observation,1577898000,94710,Cobar Arpt,1577890800,N,76,,,,,,24,76,14,29.18,,76,180.0,S,,7,,,,,,Low,76,0,,,,,,,,,,,,,,
94710,observation,1577901600,94710,Cobar Arpt,1577894400,N,75,,,,2.0,Falling Rapidly,26,75,16,29.17,,75,150.0,SSE,,5,,,,,,Low,75,0,,,,,,,,,,,,,,
94710,observation,1577905200,94710,Cobar Arpt,1577898000,N,70,,,,,,27,70,20,29.17,,70,180.0,S,,2,,,,,,Low,70,0,,,,,,,,,,,,,,
94710,observation,1577908800,94710,Cobar Arpt,1577901600,N,66,,,,,,26,66,22,29.17,,66,170.0,S,,6,,,,,,Low,66,0,,,,,,,,,,,,,,
94710,observation,1577912400,94710,Cobar Arpt,1577905200,D,71,,,,1.0,Rising Rapidly,29,71,21,29.19,,71,160.0,SSE,,6,,,,,,Low,71,0,,,,,,,,,,,,,,
94710,observation,1577916000,94710,Cobar Arpt,1577908800,D,72,,,,,,28,72,20,29.2,,72,180.0,S,,8,,,,,,Low,72,0,,,,,,,,,,,,,,
94710,observation,1577919600,94710,Cobar Arpt,1577912400,D,78,,,,,,29,77,16,29.21,,78,160.0,SSE,,10,,,,,,Low,77,1,,,,,,,,,,,,,,
94710,observation,1577923200,94710,Cobar Arpt,1577916000,D,84,,,,1.0,Rising,28,81,13,29.23,,84,160.0,SSE,,12,,,0.0,,,Moderate,81,3,,,,,,,,,,,,,,
94710,observation,1577926800,94710,Cobar Arpt,1577919600,D,87,,,,,,24,84,10,29.22,,87,170.0,S,,14,,,,,,High,84,6,,,,,,,,,,,,,,
94710,observation,1577930400,94710,Cobar Arpt,1577923200,D,93,,,,,,26,88,9,29.21,,93,150.0,SSE,,10,,,,,,Very High,88,9,,,,,,,,,,,,,,
94710,observation,1577934000,94710,Cobar Arpt,1577926800,D,94,,,,2.0,Falling Rapidly,24,90,8,29.2,,94,180.0,S,,7,,66.0,,,,Extreme,90,12,,,,,,,,,,,,,,
94710,observation,1577937600,94710,Cobar Arpt,1577930400,D,99,,,,,,24,93,7,29.18,,99,140.0,SE,,6,,,,,,Extreme,93,14,,,,,,,,,,,,,,
94710,observation,1577941200,94710,Cobar Arpt,1577934000,D,100,,,,,,25,94,7,29.16,,100,200.0,SSW,,10,,,,,,Extreme,94,13,,,,,,,,,,,,,,
94710,observation,1577944800,94710,Cobar Arpt,1577937600,D,101,34.0,3400.0,Fair,2.0,Falling Rapidly,26,96,7,29.14,,101,170.0,S,,9,,,,,,Very High,96,10,,,,,,,,,,,,,,
94710,observation,1577948400,94710,Cobar Arpt,1577941200,D,102,,,,,,30,97,8,29.12,,102,170.0,S,,8,,,,,,Very High,97,8,,,,,,,,,,,,,,
94710,observation,1577952000,94710,Cobar Arpt,1577944800,D,103,,,,,,30,97,8,29.09,,103,160.0,SSE,,7,,,,,,Moderate,97,5,,,,,,,,,,,,,,
94710,observation,1577955600,94710,Cobar Arpt,1577948400,D,103,,,,2.0,Falling,27,97,7,29.08,,103,230.0,SW,,9,,,,,,Low,97,2,,,,,,,,,,,,,,
94710,observation,1577959200,94710,Cobar Arpt,1577952000,D,103,,,,,,27,97,7,29.08,,103,240.0,WSW,,8,,,,,,Low,97,1,,,,,,,,,,,,,,
94710,observation,1577962800,94710,Cobar Arpt,1577955600,D,101,,,,,,26,95,7,29.09,,101,210.0,SSW,,9,,,,,,Low,95,0,,,,,,,,,,,,,,
94710,observation,1577966400,94710,Cobar Arpt,1577959200,N,95,27.0,2700.0,Mostly Cloudy,1.0,Rising Rapidly,22,90,7,29.1,,95,170.0,S,,7,,,,,,Low,90,0,,,,,,,,,,,,,,
94710,observation,1577970000,94710,Cobar Arpt,1577962800,N,89,,,,,,23,85,9,29.11,,89,150.0,SSE,,7,,,,,,Low,85,0,,,,,,,,,,,,,,
94710,observation,1577973600,94710,Cobar Arpt,1577966400,N,88,,,,,,22,84,9,29.12,,88,160.0,SSE,,7,,,,,,Low,84,0,,,,,,,,,,,,,,
94710,observation,1577977200,94710,Cobar Arpt,1577970000,N,84,,,,1.0,Rising,22,81,10,29.12,,84,150.0,SSE,,6,106.0,,,,,Low,81,0,,,,,,,,,,,,,,
94710,observation,1577980800,94710,Cobar Arpt,1577973600,N,82,,,,,,24,79,12,29.11,,82,130.0,SE,,6,,,,,,Low,79,0,,,,,,,,,,,,,,
94710,observation,1577984400,94710,Cobar Arpt,1577977200,N,75,,,,,,23,75,14,29.09,,75,90.0,E,,5,,,,,,Low,75,0,,,,,,,,,,,,,,
94710,observation,1577988000,94710,Cobar Arpt,1577980800,N,73,,,,2.0,Falling,24,73,16,29.08,,73,40.0,NE,,2,,,,,,Low,73,0,,,,,,,,,,,,,,
94710,observation,1577991600,94710,Cobar Arpt,1577984400,N,84,,,,,,28,81,13,29.07,,84,100.0,E,,8,,,,,,Low,81,0,,,,,,,,,,,,,,
94710,observation,1577995200,94710,Cobar Arpt,1577988000,N,80,,,,,,28,78,15,29.08,,80,120.0,ESE,,6,,,,,,Low,78,0,,,,,,,,,,,,,,
94710,observation,1577998800,94710,Cobar Arpt,1577991600,D,73,,,,0.0,Steady,28,73,19,29.08,2.0,73,,CALM,,0,,,,,,Low,73,0,,,,,,,,,,,,,,
94710,observation,1578002400,94710,Cobar Arpt,1577995200,D,74,,,,,,32,74,21,29.1,,74,,CALM,,0,,,,,,Low,74,0,,,,,,,,,,,,,,
94710,observation,1578006000,94710,Cobar Arpt,1577998800,D,88,,,,,,49,85,26,29.11,,88,30.0,NNE,,13,,,,,,Low,85,1,,,,,,,,,,,,,,
94710,observation,1578009600,94710,Cobar Arpt,1578002400,D,94,,,,1.0,Rising,53,92,25,29.11,,94,10.0,N,,18,,,0.0,,,Moderate,92,3,,,,,,,,,,,,,,
94710,observation,1578013200,94710,Cobar Arpt,1578006000,D,99,,,,,,53,97,21,29.1,,99,350.0,N,,21,,,,,,High,97,6,,,,,,,,,,,,,,
94710,observation,1578016800,94710,Cobar Arpt,1578009600,D,104,,,,,,52,101,18,29.08,,104,10.0,N,,20,,,,,,Very High,101,9,,,,,,,,,,,,,,
94710,observation,1578024000,94710,Cobar Arpt,1578016800,D,110,,,,,,44,105,11,29.05,,110,360.0,N,,13,,,,,,Extreme,105,14,,,,,,,,,,,,,,
94710,observation,1578027600,94710,Cobar Arpt,1578020400,D,108,,,,,,42,103,11,29.02,,108,310.0,NW,,14,,,,,,Extreme,103,13,,,,,,,,,,,,,,
94710,observation,1578031200,94710,Cobar Arpt,1578024000,D,112,,,,2.0,Falling Rapidly,42,106,10,29.0,,112,320.0,NW,,16,,,,,,Extreme,106,11,,,,,,,,,,,,,,
94710,observation,1578034800,94710,Cobar Arpt,1578027600,D,111,,,,,,42,105,10,28.97,,111,330.0,NNW,,14,,,,,,Very High,105,8,,,,,,,,,,,,,,
94710,observation,1578038400,94710,Cobar Arpt,1578031200,D,113,,,,,,40,107,9,28.94,,113,290.0,WNW,,13,,,,,,Moderate,107,5,,,,,,,,,,,,,,
94710,observation,1578042000,94710,Cobar Arpt,1578034800,D,110,26.0,2600.0,Cloudy,2.0,Falling,41,105,10,28.92,,110,330.0,NNW,,12,,,,,,Low,105,1,,,,,,,,,,,,,,
94710,observation,1578045600,94710,Cobar Arpt,1578038400,D,109,,,,,,40,103,10,28.93,,109,330.0,NNW,,14,,,,,,Low,103,1,,,,,,,,,,,,,,
94710,observation,1578049200,94710,Cobar Arpt,1578042000,D,108,,,,,,40,103,10,28.95,,108,360.0,N,,8,,,,,,Low,103,0,,,,,,,,,,,,,,
94710,observation,1578052800,94710,Cobar Arpt,1578045600,N,104,26.0,2600.0,Cloudy,1.0,Rising Rapidly,41,99,12,28.96,,104,30.0,NNE,,5,,,,,,Low,99,0,,,,,,,,,,,,,,
94710,observation,1578056400,94710,Cobar Arpt,1578049200,N,99,,,,,,43,95,15,28.97,,99,40.0,NE,,6,,,,,,Low,95,0,,,,,,,,,,,,,,
94710,observation,1578060000,94710,Cobar Arpt,1578052800,N,99,,,,,,43,94,15,28.98,,99,30.0,NNE,,8,,,,,,Low,94,0,,,,,,,,,,,,,,
94710,observation,1578063600,94710,Cobar Arpt,1578056400,N,100,26.0,2600.0,Cloudy,1.0,Rising,44,96,15,28.99,,100,10.0,N,,15,114.0,,,,,Low,96,0,,,,,,,,,,,,,,
94710,observation,1578067200,94710,Cobar Arpt,1578060000,N,100,,,,,,46,96,16,28.99,,100,360.0,N,,14,,,,,,Low,96,0,,,,,,,,,,,,,,
94710,observation,1578070800,94710,Cobar Arpt,1578063600,N,98,,,,,,46,94,17,28.98,,98,10.0,N,,13,,,,,,Low,94,0,,,,,,,,,,,,,,
94710,observation,1578074400,94710,Cobar Arpt,1578067200,N,96,33.0,3300.0,Fair,2.0,Falling Rapidly,47,93,19,28.97,,96,10.0,N,,13,,,,,,Low,93,0,,,,,,,,,,,,,,
94710,observation,1578078000,94710,Cobar Arpt,1578070800,N,95,,,,,,47,91,20,28.98,,95,360.0,N,,12,,,,,,Low,91,0,,,,,,,,,,,,,,
94710,observation,1578081600,94710,Cobar Arpt,1578074400,N,92,,,,,,49,89,23,28.99,,92,10.0,N,,10,,,,,,Low,89,0,,,,,,,,,,,,,,
94710,observation,1578085200,94710,Cobar Arpt,1578078000,D,90,34.0,3400.0,Fair,1.0,Rising Rapidly,50,87,25,29.01,,90,20.0,NNE,,7,,,,,,Low,87,0,,,,,,,,,,,,,,
94710,observation,1578088800,94710,Cobar Arpt,1578081600,D,91,,,,,,50,87,25,29.04,,91,10.0,N,,10,,,,,,Low,87,0,,,,,,,,,,,,,,
94710,observation,1578092400,94710,Cobar Arpt,1578085200,D,95,,,,,,53,93,24,29.07,,95,340.0,NNW,,12,,,,,,Low,93,1,,,,,,,,,,,,,,
94710,observation,1578096000,94710,Cobar Arpt,1578088800,D,97,28.0,2800.0,Mostly Cloudy,1.0,Rising,52,94,22,29.08,,97,330.0,NNW,,10,,,0.0,,,Low,94,1,,,,,,,,,,,,,,
94710,observation,1578099600,94710,Cobar Arpt,1578092400,D,104,,,,,,50,101,17,29.07,,104,330.0,NNW,,16,,,,,,High,101,6,,,,,,,,,,,,,,
94710,observation,1578103200,94710,Cobar Arpt,1578096000,D,106,,,,,,49,103,15,29.06,,106,310.0,NW,,18,,,,,,Very High,103,9,,,,,,,,,,,,,,
94710,observation,1578106800,94710,Cobar Arpt,1578099600,D,108,,,,2.0,Falling Rapidly,48,104,14,29.05,,108,320.0,NW,,16,,89.0,,,,Extreme,104,12,,,,,,,,,,,,,,
94710,observation,1578110400,94710,Cobar Arpt,1578103200,D,110,,,,,,48,107,13,29.03,,110,310.0,NW,,15,,,,,,Extreme,107,14,,,,,,,,,,,,,,
94710,observation,1578114000,94710,Cobar Arpt,1578106800,D,112,,,,,,45,108,11,29.0,,112,330.0,NNW,,14,,,,,,Extreme,108,13,,,,,,,,,,,,,,
