key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
KLGA,observation,1577865060,KLGA,New York City/La Guardia,1577857860,N,40,26,2600,Cloudy,1.0,Rising Rapidly,25,40,55,29.63,10.0,32.0,270.0,W,24.0,14.0,,,,0.0,,Low,32.0,0,,,,,OVC,,,,,,,,,
KLGA,observation,1577868660,KLGA,New York City/La Guardia,1577861460,N,40,26,2600,Cloudy,,,26,40,58,29.64,10.0,31.0,270.0,W,22.0,17.0,,,,0.0,,Low,31.0,0,,,,,OVC,,,,,,,,,
KLGA,observation,1577872260,KLGA,New York City/La Guardia,1577865060,N,40,27,2700,Mostly Cloudy,,,25,40,55,29.64,10.0,31.0,280.0,W,28.0,16.0,,,,0.0,,Low,31.0,0,,,,,BKN,,,,,,,,,
KLGA,observation,1577875860,KLGA,New York City/La Guardia,1577868660,N,39,26,2600,Cloudy,1.0,Rising Rapidly,23,39,53,29.66,10.0,30.0,260.0,W,,16.0,,,,0.0,,Low,30.0,0,,,,,OVC,,,,,,,,,
KLGA,observation,1577879460,KLGA,New York City/La Guardia,1577872260,N,38,26,2600,Cloudy,,,23,38,55,29.66,10.0,30.0,270.0,W,23.0,14.0,,,,0.0,,Low,30.0,0,,,,,OVC,,,,,,,,,
KLGA,observation,1577883060,KLGA,New York City/La Guardia,1577875860,N,38,26,2600,Cloudy,,,20,38,48,29.68,10.0,28.0,260.0,W,24.0,18.0,,,,0.0,,Low,28.0,0,,,,,OVC,,,,,,,,,
KLGA,observation,1577886660,KLGA,New York City/La Guardia,1577879460,D,37,26,2600,Cloudy,1.0,Rising Rapidly,23,37,57,29.68,10.0,27.0,260.0,W,23.0,18.0,,,0.01,0.0,,Low,27.0,0,,,,,OVC,,,,,,,,,
KLGA,observation,1577890260,KLGA,New York City/La Guardia,1577883060,D,37,26,2600,Cloudy,,,23,37,57,29.7,10.0,29.0,270.0,W,,13.0,,,,0.0,,Low,29.0,0,,,,,OVC,,,,,,,,,
KLGA,observation,1577893860,KLGA,New York City/La Guardia,1577886660,D,37,28,2800,Mostly Cloudy,,,21,37,52,29.72,10.0,27.0,260.0,W,29.0,17.0,,,,0.0,,Low,27.0,0,,,,,BKN,,,,,,,,,
KLGA,observation,1577897460,KLGA,New York City/La Guardia,1577890260,D,38,26,2600,Cloudy,1.0,Rising Rapidly,19,38,47,29.74,10.0,29.0,260.0,W,24.0,15.0,,,,0.0,,Low,29.0,0,,,,,OVC,,,,,,,,,
KLGA,observation,1577901060,KLGA,New York City/La Guardia,1577893860,D,39,28,2800,Mostly Cloudy,,,18,39,43,29.73,10.0,30.0,260.0,W,26.0,18.0,,,,0.0,,Low,30.0,1,,,,,BKN,,,,,,,,,
KLGA,observation,1577904660,KLGA,New York City/La Guardia,1577897460,D,40,26,2690,Cloudy / Windy,,,18,40,41,29.72,10.0,30.0,270.0,W,28.0,23.0,,,,0.0,,Low,30.0,1,,,,,OVC,,,,,,,,,
KLGA,observation,1577908260,KLGA,New York City/La Guardia,1577901060,D,39,26,2600,Cloudy,2.0,Falling Rapidly,19,39,45,29.71,10.0,30.0,310.0,NW,23.0,18.0,,,,0.0,,Low,30.0,1,,,,,OVC,,,,,,,,,
KLGA,observation,1577911860,KLGA,New York City/La Guardia,1577904660,D,39,26,2690,Cloudy / Windy,,,18,39,43,29.72,10.0,28.0,290.0,WNW,,23.0,,,,0.0,,Low,28.0,0,,,,,OVC,,,,,,,,,
