key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
CYQB,observation,1577862000,CYQB,Quebec/Lesage,1577854800,N,27,14,1601,Light Snow,,,23,27,86,29.18,2.0,17,70.0,ENE,20.0,10,,,,,,Low,17,0,,,,,OVC,,,,,,,,,
CYQB,observation,1577863680,CYQB,Quebec/Lesage,1577856480,N,27,14,1601,Light Snow,,,23,27,86,29.17,0.5,17,70.0,ENE,,10,,,,,,Low,17,0,,,,,OVC,,,,,,,,,
CYQB,observation,1577865600,CYQB,Quebec/Lesage,1577858400,N,27,14,1601,Light Snow,,,25,27,93,29.17,1.0,17,70.0,ENE,,10,,,,,,Low,17,0,,,,,OVC,,,,,,,,,
CYQB,observation,1577866860,CYQB,Quebec/Lesage,1577859660,N,27,14,1601,Light Snow,,,25,27,93,29.17,1.0,19,70.0,ENE,,7,,,,,,Low,19,0,,,,,OVC,,,,,,,,,
CYQB,observation,1577869200,CYQB,Quebec/Lesage,1577862000,N,25,14,1601,Light Snow,,,25,25,100,29.17,2.0,25,70.0,ENE,,3,,,,,,Low,25,0,,,,,OVC,,,,,,,,,
CYQB,observation,1577869500,CYQB,Quebec/Lesage,1577862300,N,25,14,1601,Light Snow,,,25,25,100,29.17,5.0,25,80.0,E,,3,,,,,,Low,25,0,,,,,OVC,,,,,,,,,
CYQB,observation,1577870520,CYQB,Quebec/Lesage,1577863320,N,25,14,1601,Light Snow,,,25,25,100,29.17,8.0,25,90.0,E,,3,,,,,,Low,25,0,,,,,OVC,,,,,,,,,
CYQB,observation,1577872800,CYQB,Quebec/Lesage,1577865600,N,25,14,1601,Light Snow,,,23,25,93,29.17,7.0,25,110.0,ESE,,2,,,,,,Low,25,0,,,,,BKN,,,,,,,,,
CYQB,observation,1577876400,CYQB,Quebec/Lesage,1577869200,N,25,14,1601,Light Snow,,,23,25,93,29.16,7.0,19,90.0,E,,5,,,,,,Low,19,0,,,,,OVC,,,,,,,,,
CYQB,observation,1577878320,CYQB,Quebec/Lesage,1577871120,N,25,14,1601,Light Snow,,,23,25,93,29.15,3.0,25,110.0,ESE,,3,,,,,,Low,25,0,,,,,OVC,,,,,,,,,
