key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
FMEE,observation,1577829600,FMEE,St Denis,1577822400,N,79,33,3300,Fair,,,73,82,83,29.61,6.0,79,210.0,SSW,,3,,,,,,Low,82,0,,,,,CLR,,,,,,,,,
FMEE,observation,1577831400,FMEE,St Denis,1577824200,N,79,33,3300,Fair,,,73,82,83,29.58,4.0,79,190.0,S,,2,,,,,,Low,82,0,,,,,CLR,,,,,,,,,
FMEE,observation,1577833200,FMEE,St Denis,1577826000,N,77,33,3300,Fair,,,73,78,89,29.58,3.0,77,170.0,S,,3,,,,,,Low,78,0,,,,,CLR,,,,,,,,,
FMEE,observation,1577835000,FMEE,St Denis,1577827800,N,77,33,3300,Fair,,,73,78,89,29.58,5.0,77,190.0,S,,5,,,,,,Low,78,0,,,,,CLR,,,,,,,,,
FMEE,observation,1577836800,FMEE,St Denis,1577829600,N,77,29,2900,Partly Cloudy,,,72,78,83,29.58,6.0,77,,VAR,,2,,,,,,Low,78,0,,,,,SCT,,,,,,,,,
FMEE,observation,1577838600,FMEE,St Denis,1577831400,N,77,33,3300,Fair,,,72,78,83,29.58,6.0,77,170.0,S,,3,,,,,,Low,78,0,,,,,FEW,,,,,,,,,
FMEE,observation,1577840400,FMEE,St Denis,1577833200,N,77,33,3300,Fair,,,72,78,83,29.58,6.0,77,210.0,SSW,,5,,,,,,Low,78,0,,,,,CLR,,,,,,,,,
FMEE,observation,1577842200,FMEE,St Denis,1577835000,N,77,33,3300,Fair,,,72,78,83,29.58,6.0,77,200.0,SSW,,6,,,,,,Low,78,0,,,,,FEW,,,,,,,,,
FMEE,observation,1577844000,FMEE,St Denis,1577836800,N,77,27,2700,Mostly Cloudy,,,72,78,83,29.58,6.0,77,,CALM,,0,,,,,,Low,78,0,,,,,BKN,,,,,,,,,
FMEE,observation,1577845800,FMEE,St Denis,1577838600,N,77,29,2900,Partly Cloudy,,,72,78,83,29.58,6.0,77,,VAR,,2,,,,,,Low,78,0,,,,,SCT,,,,,,,,,
FMEE,observation,1577847600,FMEE,St Denis,1577840400,N,75,33,3300,Fair,,,72,75,89,29.58,6.0,75,190.0,S,,3,,,,,,Low,75,0,,,,,FEW,,,,,,,,,
