key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
YMHB,observation,1577804400,YMHB,Hobart Arpt,1577797200,N,55,33,3300,Fair,,,41.0,55.0,58.0,29.76,6.0,55,340.0,NNW,,8,,,,,,Low,55,0,,,,,CLR,,,,,,,,,
YMHB,observation,1577806200,YMHB,Hobart Arpt,1577799000,N,55,33,3300,Fair,,,41.0,55.0,58.0,29.76,6.0,55,330.0,NNW,,8,,,,,,Low,55,0,,,,,CLR,,,,,,,,,
YMHB,observation,1577808000,YMHB,Hobart Arpt,1577800800,N,55,33,3300,Fair,,,39.0,55.0,54.0,29.73,6.0,55,360.0,N,,6,,,,,,Low,55,0,,,,,CLR,,,,,,,,,
YMHB,observation,1577809800,YMHB,Hobart Arpt,1577802600,N,55,33,3300,Fair,,,39.0,55.0,54.0,29.73,6.0,55,310.0,NW,,8,,,,,,Low,55,0,,,,,CLR,,,,,,,,,
YMHB,observation,1577811600,YMHB,Hobart Arpt,1577804400,N,55,33,3300,Fair,,,37.0,55.0,51.0,29.73,6.0,55,300.0,WNW,,10,,,,,,Low,55,0,,,,,CLR,,,,,,,,,
YMHB,observation,1577813400,YMHB,Hobart Arpt,1577806200,N,55,33,3300,Fair,,,37.0,55.0,51.0,29.73,6.0,55,330.0,NNW,,12,,,,,,Low,55,0,,,,,CLR,,,,,,,,,
YMHB,observation,1577815200,YMHB,Hobart Arpt,1577808000,N,54,33,3300,Fair,,,39.0,54.0,58.0,29.73,6.0,54,310.0,NW,,10,,,,,,Low,54,0,,,,,CLR,,,,,,,,,
YMHB,observation,1577817000,YMHB,Hobart Arpt,1577809800,N,54,33,3300,Fair,,,37.0,54.0,54.0,29.73,6.0,54,350.0,N,,8,,,,,,Low,54,0,,,,,CLR,,,,,,,,,
YMHB,observation,1577818800,YMHB,Hobart Arpt,1577811600,N,55,33,3300,Fair,,,37.0,55.0,51.0,29.7,6.0,55,350.0,N,,8,,,,,,Low,55,0,,,,,CLR,,,,,,,,,
YMHB,observation,1577820600,YMHB,Hobart Arpt,1577813400,N,55,33,3300,Fair,,,36.0,55.0,47.0,29.7,6.0,55,340.0,NNW,,8,,,,,,Low,55,0,,,,,CLR,,,,,,,,,
