key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
KLYH,observation,1577865240,KLYH,Lynchburg,1577858040,N,37,33,3300,Fair,0.0,Steady,27.0,37.0,67.0,28.78,10.0,37.0,,CALM,,0.0,,,,0.0,,Low,37.0,0,,,,,CLR,,,,,,,,,
KLYH,observation,1577868840,KLYH,Lynchburg,1577861640,N,42,33,3300,Fair,,,27.0,42.0,55.0,28.79,10.0,42.0,,VAR,,3.0,,,,0.0,,Low,42.0,0,,,,,CLR,,,,,,,,,
KLYH,observation,1577872440,KLYH,Lynchburg,1577865240,N,42,33,3300,Fair,,,27.0,42.0,55.0,28.81,10.0,38.0,260.0,W,,7.0,,,,0.0,,Low,38.0,0,,,,,FEW,,,,,,,,,
KLYH,observation,1577876040,KLYH,Lynchburg,1577868840,N,43,26,2600,Cloudy,0.0,Steady,28.0,43.0,56.0,28.81,10.0,43.0,,CALM,,0.0,,,,0.0,,Low,43.0,0,,,,,OVC,,,,,,,,,
KLYH,observation,1577879640,KLYH,Lynchburg,1577872440,N,43,26,2600,Cloudy,,,28.0,43.0,56.0,28.81,10.0,43.0,250.0,WSW,,3.0,,,,0.0,,Low,43.0,0,,,,,OVC,,,,,,,,,
KLYH,observation,1577883240,KLYH,Lynchburg,1577876040,N,42,26,2600,Cloudy,,,29.0,42.0,60.0,28.81,10.0,39.0,260.0,W,,5.0,,,,0.0,,Low,39.0,0,,,,,OVC,,,,,,,,,
KLYH,observation,1577886840,KLYH,Lynchburg,1577879640,N,43,27,2700,Mostly Cloudy,1.0,Rising Rapidly,29.0,43.0,58.0,28.83,10.0,39.0,270.0,W,,6.0,,,,0.0,,Low,39.0,0,,,,,BKN,,,,,,,,,
KLYH,observation,1577890440,KLYH,Lynchburg,1577883240,D,43,28,2800,Mostly Cloudy,,,29.0,43.0,58.0,28.84,10.0,38.0,270.0,W,,8.0,,,,0.0,,Low,38.0,0,,,,,BKN,,,,,,,,,
KLYH,observation,1577894040,KLYH,Lynchburg,1577886840,D,46,34,3400,Fair,,,29.0,46.0,51.0,28.86,10.0,44.0,,VAR,,5.0,,,,0.0,,Low,44.0,0,,,,,CLR,,,,,,,,,
KLYH,observation,1577897640,KLYH,Lynchburg,1577890440,D,48,26,2600,Cloudy,1.0,Rising Rapidly,29.0,48.0,48.0,28.9,10.0,44.0,240.0,WSW,,8.0,,,,0.0,,Low,44.0,0,,,,,OVC,,,,,,,,,
